Year,Smstr,#,Company Name,Primary Location,"Rent/Domain Amount 
for Primary Location",Description,Revenue,COGS,Gross Profit,Gross Margin,Operating Expenses,Operating Income,Net Income,Ending Cash Balance,Net Income Margin
2021,Fall,A,Funky Monkey Thrift Shop,Outside,25,Selling donated clothes,2153.37,285,3334,1.54827085,3055,279,106,-25,0.049225168
2021,Fall,B,Waypoint,Outside,25,Hoodies of various places,7759.39,3769,5110,0.658556923,3902,1207,703,629,0.090599905
2021,Fall,C,Spirit of Wix,Rotated,35,Candles,10510.41,5013,7795,0.741645664,4285,3510,1970,2178,0.187433221
2021,Fall,D,FitCheck Apparel ,Outside,25,Tshirts with Rexburg sayings,4700,2516,2795,0.594680851,3905,-1110,-925,1115,-0.196808511
2021,Fall,E,Remember When,Rotated,25,Adventure Book,2506.74,1017,2199,0.877234975,2802,-602,-492,436,-0.196270854
2021,Fall,F,Cozy Co,Outside,25,Handwarmers,3521.97,912,4371,1.241066789,3584,787,456,95,0.129472994
2021,Fall,G,Parks n Rex,STC,35,National Parks T-shirts,9146.21,3132,6018,0.657977457,4334,1683,1061,1863,0.116004334
2021,Fall,H,Outlandish,Smith,35,Customizable Hoodies,9026.72,6955,5607,0.621155857,3852,1755,1240,1049,0.137369942
2022,Winter,A,The Apricot Tree,Campus,,Popcorn & Pretzels,3870,1468,2402,0.620671835,3118,-715,-625,140,-0.161498708
2022,Winter,B,Cheese Louise,Smith,35,Mac n Cheese,16664,5326,11337,0.680328853,6910,4428,3043,4464,0.182609217
2022,Winter,C,Stroop There It Is,Benson,,Stroopwafels,14393,2750,11643,0.808934899,8257,3386,2868,4375,0.199263531
2022,Winter,D,Chap'd,I-Center,35,Chapstick,5936,1209,4538,0.764487871,2930,1608,1053,877,0.177392183
2022,Winter,E,208 Stitch,Hart,35,Water bottle coozie,6030,2469,3562,0.590713101,3178,383,162,334,0.026865672
2022,Winter,F,The Teahive,Outside,35 (25 + 10 for tent),Tea and protein bytes,6380,1935,4444,0.696551724,4537,-93,-135,0,-0.021159875
2022,Winter,G,Splash,Hart,35,Tie dye socks,9936,3626,6310,0.635064412,5185,1125,698,1056,0.070249597
2022,Winter,H,The Myx,Benson,35,Trail mix & power bites,2580,689,1891,0.732945736,2721,-830,-648,0,-0.251162791
2022,Spring,A,Cardway to Heaven,Outside,25,Rexburg themed card games,6198,3643,2555,0.412229752,2151,404,170,218,0.027428203
2022,Spring,B,Woofles,Snow,25/35,Waffles,2189,615,1574,0.719049794,2353,-779,-571,0,-0.260849703
2022,Spring,C,Road Bum,Outside,25,Tie-dye Shirts and Hats ,4064,2020,2044,0.502952756,2271,-146,-187,21,-0.04601378
2022,Spring,D,Super Freeze,Outside,25,Freeze dried candy and fruit,5576,1670,3906,0.700502152,3606,300,102,146,0.018292683
2022,Spring,E,Churro a la Rex,Outside,25,Churros,5497,2259,3238,0.589048572,3401,-163,-156,7,-0.028379116
2022,Spring,F,Carnival Cravings,Outside,25,Cotton Candy & Carnival Games,2936,537,2399,0.817098093,2307,92,261,399,0.088896458
2022,Spring,G,Mad Dawg,Smith,35,Hot Dogs ,12755,4545,8210,0.643669149,4718,3492,2310,3300,0.181105449
2022,Spring,H,N'ice,Outside,25,Shaved Ice ,7603,2011,5592,0.735499145,3963,1665,1108,1610,0.145731948
2022,Fall,A,Scratch,I-Center,25/35,Date cards/packs,2342,637,1705,0.728010248,2292,-586,-486,587,-0.207514944
2022,Fall,B,DaniCakes,Smith,150,Danish pancakes,8953,1511,7442,0.831229755,6064,1378,830,993,0.092706355
2022,Fall,C,Pretzel Parlor,Outside,25/35,Covered pretzels(hard) sticks,8107,2621,5486,0.676699149,2938,2549,1727,2499,0.21302578
2022,Fall,D,The Cookie Jar,Outside,25,Pre-made cookie mixes,6051,2820,3230,0.533796067,2427,803,480,523,0.079325731
2022,Fall,E,Banded Together,I-Center,25,Spoon Rings/necklaces/jewelery,8326,1188,7138,0.857314437,4068,3069,2174,2997,0.261109777
2022,Fall,F,FryNight,MC,100,Loaded Fries,8011,3037,4974,0.620896268,4385,589,299,253,0.03732368
2022,Fall,G,Twisted Pretzels,I-Center,35,Soft Pretzels,5796,1479,4317,0.744824017,3714,602,270,1,0.046583851
2022,Fall,H,Scrubalicious,I-Center,35,Homemade body and lip scrubs,9031,2378,6653,0.736684753,4337,2276,1513,2026,0.167534049
2023,Winter,A,Golden Links,I-Center,35,Permanenant jewlery,18754,2019,13508,0.720273008,6330,8260,5127,6021,0.273381679
2023,Winter,B,Unboxed,Benson,35,Brownies,10221,3859,6362,0.622443988,3877,2485,1345,1922,0.131591821
2023,Winter,C,Rogers,Hart,35,Shave cream for sensitive skin,6528,2507,4021,0.61596201,2913,1108,523,627,0.080116422
2023,Winter,D,Swift Blend,Smith,150,Hot Chocolate (gourmet),8146,2340,5805,0.712619691,6505,-700,-758,73,-0.093051805
2023,Winter,E,After Hours,MC,150,Wings and Mocktails,14384,6699,7685,0.534274194,6654,1031,555,714,0.038584538
2023,Winter,F,CereALLS,Benson,35,Cereal balls,6669,2007,4662,0.699055331,2614,2048,1338,2177,0.20062978
2023,Winter,G,MemoRays,STC,35,Laser engraving,4319,500,3819,0.884232461,3727,93,-44,51,-0.010187543
2023,Winter,H,Wickalicous,Rotated,35,Food scented candles,11056,5020,6036,0.545947902,3405,2630,1579,2256,0.142818379
2023,Spring,A,1793 & Co,Ampatheater,25,Coin Rings,8111,276,7835,0.965972137,4513,3323,2208,3155,0.272222907
2023,Spring,B,Walk'in Tacos,Night MC,150,Tacos in chip bags,8944,3205,5739,0.641659213,5609,129,-187,0,-0.020907871
2023,Spring,C,The Chap Shack,Ampatheater,25,"chapstick, lip oils",4023,893,3130,0.778026348,2442,688,-2,0,-0.000497141
