Year,Smstr,#,Company Name,Primary Location,"Rent/Domain Amount 
for Primary Location",Description,Revenue,COGS,Gross Profit,Gross Margin,Operating Expenses,Operating Income,Net Income,Ending Cash Balance,Net Income Margin,Category
2015,Winter,A,Teton Tacos,Smith,,Tacos,,,,,,,,,0%,Food/Drink
2015,Winter,B,43 North,Library Ampitheatre,,Hot Chocolate,"9,718.00","3,778.00","5,940.00",61%,"13,443.00","-7,502.00","-7,502.00","2,363.00",-77%,Food/Drink
2015,Winter,C,Royal,MC,,Apparel,"11,868.00","5,993.00","5,874.00",49%,"1,322.00","4,543.00","3,861.00","1,459.00",33%,Apparel
2015,Winter,D,Shave and Shine,MC,,Apparel,"13,589.00","5,910.00","7,679.00",57%,"5,909.00","1,770.00","1,770.00",,13%,Apparel
,,,,,,,,,,,,,,,,
2015,Winter,F,Johnny's Diner,Clark,,Burgers,"5,135.00",,,,,,"2,411.00",,47%,Food/Drink
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2015,Spring,E,Toasties,,,Food,"16,625.00","8,353.00","8,272.00",50%,"1,809.00","6,462.00","6,462.00",,39%,Food/Drink
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2020,Fall,C,Fibra Bands,Online,,Wrist Bands w/ Functions,"2,082.00","1,126.00",976.00,47%,"2,603.00","-1,627.00","-1,246.00",-484.00,-60%,Apparel
2020,Fall,D,Hidden  Gems,Rotated,$35 ,Adventure Packs (Cards with Locations),"4,385.00",807.00,"3,578.00",82%,"3,251.00",328.00,179.00,295.00,4%,Product
2020,Fall,E,Golden Teton Clay,Rotated,$35 ,Clay jewelry,"4,140.00",198.00,"3,347.00",81%,"2,342.00","1,005.00",648.00,"1,058.00",16%,Apparel
2020,Fall,F,Groovy Mama,Rotated,$35 ,Tie-dye Apparel,"7,189.00","3,909.00","3,280.00",46%,"4,538.00","-1,258.00",-988.00,289.00,-14%,Apparel
2020,Fall,G,Mind Full,Rotated,$35 ,StLibrary Ampitheatreed Jewelry,"4,126.00",874.00,"3,159.00",77%,"2,043.00","1,116.00",714.00,966.00,17%,Apparel
2020,Fall,H,Gator Gains,Rotated,$35 ,Gator Masks,"3,981.00","1,609.00","2,372.00",60%,"2,343.00",29.00,-29.00,-325.00,-1%,Apparel
2021,Winter,A,Ella Rain Jewelry,Online,,Metal Jewlery,"2,602.00",868.00,"1,734.00",67%,"1,179.00",555.00,293.00,396.00,11%,Apparel
2021,Winter,B,BeanPatch,Online,,Patch Beanies,"9,644.00","4,864.00","4,780.00",50%,"1,717.00","3,063.00","2,105.00","2,535.00",22%,Apparel
2021,Winter,C,Rexburg Life,Online,,Website for housing options ,476.00,0.00,476.00,100%,"1,301.00",-825.00,432.00,815.00,91%,Service
2021,Winter,D,Cherie Jewlery Co,Rotated,$35 ,Resin Jewlery,"2,319.00",364.00,"1,954.00",84%,"1,872.00",83.00,"1,044.00","1,275.00",45%,Apparel
2021,Winter,E,Nomad,Rotated,$35 ,Embroidered Beanies,"4,695.00","1,784.00","2,912.00",62%,"2,470.00",442.00,184.00,192.00,4%,Apparel
2021,Winter,F,Bel Arome,Rotated,$35 ,Candels,"2,814.00","1,335.00","1,479.00",53%,"2,102.00",-624.00,-537.00,613.00,-19%,Product
2021,Winter,G,Social Survival,Rotated,$35 ,Date Night Kits,"2,712.00","1,295.00","1,417.00",52%,"1,786.00",-369.00,-404.00,0.00,-15%,Product
2021,Winter,H,The Hunt,Rotated,$35 ,Scavenger Hunts,"4,493.00",145.00,"4,348.00",97%,"2,478.00","1,869.00","1,609.00","2,203.00",36%,Service
2021,Spring,A,Paxil,Online,$35 ,Mexican Woven Fabrics,"2,841.00","1,965.00",877.00,31%,"1,701.00",-825.00,-697.00,854.00,-25%,Food/Drink
2021,Spring,B,R Home Stickers,Online,$35 ,Stickers,657.00,377.00,279.00,42%,626.00,-346.00,-287.00,100.00,-44%,Product
2021,Spring,C,EZ Breezy,Online,,Summer Rental ,291.00,    ,291.00,100%,"1,109.00",-819.00,-909.00,419.00,-312%,Service
